Game,Total_Sales,Copies,Publisher,Year,Console,JP_Sales,NA_Sales,Other_Sales,EU_Sales,User_Score,Critic_Score
Major League Baseball 2K6,0.33,,2K Sports,2006,XB,,0.24,0.01,0.07,,7.3
Pinball Hall of Fame: The Gottlieb Collection,0.33,,Crave Entertainment,2004,PS2,,0.16,0.04,0.12,,
EA Playground,0.33,,Electronic Arts,2007,DS,,0.29,0.03,0.01,,
Harry Potter and the Deathly Hallows - Part 2,0.33,,Electronic Arts,2011,PS3,,0.14,0.05,0.14,,
Discovery Kids: Puppy Playtime,0.33,,505 Games,2009,DS,,0.3,0.02,,,
Style Lab: Jewelry Design,0.33,,Ubisoft,2009,DS,,0.3,0.02,,,
Medal of Honor: Warfighter,0.33,,Electronic Arts,2012,PC,,0.14,0.03,0.16,,
The Witcher: Enhanced Edition,0.33,,Atari,2008,PC,,0.32,,0.01,,8.3
NCAA Basketball 10,0.32,,Electronic Arts,2009,X360,,0.3,0.03,,,
Final Fantasy XI: Wings of the Goddess,0.32,,Square Enix,2007,X360,0.02,0.28,0.03,0,,6.5
Teenage Mutant Ninja Turtles 2: Battle Nexus,0.32,,Konami,2004,GBA,,0.23,0.01,0.09,,
Elebits,0.32,,Konami,2006,Wii,0.08,0.22,0.02,0.01,,7.3
Nicktoons: Movin,0.32,,THQ,2004,PS2,,0.16,0.04,0.12,,
Fire Emblem Gaiden,,0.32,Nintendo,1992,NES,,,,,,
Silent Hill: Downpour,0.32,,Konami,2012,X360,,0.22,0.03,0.08,,
Power Rangers Samurai,0.32,,Namco Bandai,2011,Wii,,0.27,0.03,0.03,,
One Piece: Romance Dawn,0.32,,Namco Bandai Games,2012,PSP,0.32,,,,,
SWAT: Global Strike Team,0.32,,Sierra Entertainment,2003,PS2,,0.16,0.04,0.12,,
Battlestations: Pacific,0.32,,Eidos Interactive,2009,X360,0.01,0.17,0.03,0.11,,
Championship Bass,0.32,,EA Sports,2000,PS,,0.18,0.02,0.12,,7.1
Audiosurf 2,,0.32,Unknown,,PC,,,,,,
Golden Axe: Beast Rider,0.32,,Sega,2008,PS3,,0.13,0.06,0.14,,4.5
Ratz Instagib,,0.32,Unknown,,PC,,,,,,
And Yet It Moves,,0.32,Broken Rules,2009,PC,,,,,,8
Dead Rising 2: Off the Record,0.32,,Capcom,2011,PS3,0.1,0.11,0.03,0.08,,7.1
Drakengard 3,0.32,,Square Enix,2014,PS3,0.19,0.11,0.02,,,
The Black Eyed Peas Experience,0.32,,Ubisoft,2011,X360,,0.2,0.03,0.1,,
Silent Hill HD Collection,0.32,,Konami Digital Entertainment,2012,PS3,0.03,0.15,0.04,0.1,,
DiRT 2,0.32,,Codemasters,2009,PSP,,0.09,0.08,0.15,,
Ben 10 Ultimate Alien: Cosmic Destruction,0.32,,D3 Publisher,2010,DS,,0.22,0.03,0.08,,
NHL Breakaway 98,0.32,,Acclaim Entertainment,1998,N64,,0.3,0,0.02,,
Invasion: Brain Craving,,0.32,Unknown,,PC,,,,,,
Bratz: Girlz Really Rock,0.32,,THQ,2008,DS,,0.18,0.03,0.11,,
Marvel: Ultimate Alliance 2,0.32,,Activision,2009,Wii,,0.25,0.03,0.05,,5.6
Hatsune Miku: Project Diva F 2nd,0.32,,Sega,2014,PSV,0.16,0.08,0.04,0.05,,
Momotarou Dentetsu 20-Shuunen,0.32,,Hudson Soft,2008,DS,0.32,,,,,
Kinetica,0.32,,Sony Computer Entertainment,2001,PS2,,0.16,0.04,0.12,,
Eternal Sonata,0.32,,Namco Bandai,2007,X360,0.08,0.19,0.02,0.04,,7.9
Shin Megami Tensei: Persona 2: Innocent Sin,0.32,,Atlus,2011,PSP,0.11,0.14,0.04,0.04,,7
Wipeout 2,0.32,,Activision,2011,Wii,,0.3,0.02,,,
Bust-A-Move '99,0.32,,Acclaim Entertainment,1999,PS,,0.18,0.02,0.12,,7.7
NBA Street V3,0.32,,EA Sports BIG,2005,XB,,0.28,0.01,0.03,,
Pony Friends 2,0.32,,Square Enix,2010,DS,,0.21,0.02,0.09,,
My Baby: First Steps,0.32,,SouthPeak Interactive,2009,DS,,0.27,0.02,0.03,,
Dragon Quest Monsters 1·2,0.32,,Enix,2002,PS,0.3,,0.02,,,
Kurushi Final: Mental Blocks,0.32,,Sony Computer Entertainment,1999,PS,0.32,,,,,
Operation Flashpoint: Red River,0.32,,Codemasters,2011,PS3,0.07,0.06,0.05,0.14,,6.8
Dead Space 2,0.32,,Electronic Arts,2011,PC,,0.13,0.04,0.15,,8.9
Army of Two: The 40th Day,0.32,,Electronic Arts,2010,PSP,,0.12,0.08,0.13,,4.8
God Mode,,0.32,Atlus,2014,PC,,,,,,
F1 Race Stars,0.32,,Codemasters,2012,PS3,,0.07,0.05,0.2,,
OverBlood,0.32,,Electronic Arts,1997,PS,0.21,0.05,0.02,0.04,,
Borderlands: The Pre-Sequel,0.32,,2K Games,2014,PC,,0.14,0.03,0.15,,
ESPN X-Games Pro Boarder,0.32,,Electronic Arts,1998,PS,,0.18,0.02,0.12,,
LEGO The Incredibles,0.32,,Warner Bros. Interactive Entertainment,2018,XOne,,0.19,0.03,0.1,,
Power Rangers Samurai,0.32,,Namco Bandai,2011,DS,,0.26,0.03,0.04,,
Battlefleet Gothic: Armada,,0.32,Koch Media,2016,PC,,,,,,
FIFA Street 3,0.32,,EA Sports BIG,2008,PS3,0,0.08,0.06,0.18,,
Harvest Moon: Back to Nature,0.32,,Natsume,2000,PS,0.12,0.11,0.02,0.07,,
Overlord II,0.32,,Codemasters,2009,X360,,0.15,0.03,0.14,,
Naruto: Ultimate Ninja (JP sales),0.32,,Namco Bandai,2006,PS2,0.32,,,,,
Dance Dance Revolution Universe,0.32,,Konami,2007,X360,,0.3,0.02,,,
Final Fantasy XI: Online,0.32,,Square Enix,2004,PS2,0.15,0.08,0.02,0.06,,8.4
Madden NFL 09,0.32,,EA Sports,2008,DS,,0.3,0.02,0,,
MLB 07: The Show,0.32,,Sony Computer Entertainment,2007,PS3,,0.29,0.03,,,
Bleach: Shattered Blade,0.32,,Sega,2007,Wii,0.08,0.21,0.02,0.01,,5.3
Beautiful Katamari,0.32,,Namco Bandai,2007,X360,0.15,0.14,0.02,0.02,,7.3
"Go, Diego, Go!: Great Dinosaur Rescue",0.32,,2K Play,2008,PS2,,0.16,0.04,0.12,,
Vin Diesel: Wheelman,0.32,,Ubisoft,2009,PS3,,0.12,0.05,0.14,,6.9
Darkwatch,0.32,,Capcom,2005,PS2,,0.16,0.04,0.12,,
Chibi-Robo! Zip Lash,0.32,,Nintendo,2015,3DS,0.07,0.14,0.02,0.09,,5.5
Tony Hawk's American Wasteland,0.32,,Activision,2005,X360,,0.28,0.03,0.01,,8.2
The Bridge,,0.32,Unknown,2013,PC,,,,,,
LEGO Marvel's Avengers,0.32,,Warner Bros. Interactive Entertainment,2016,WiiU,0.01,0.15,0.03,0.14,,
Prince of Persia: The Sands of Time,0.32,,Ubisoft,2003,GC,,0.25,0.01,0.06,,9
The Hat Man: Shadow Ward,,0.32,Unknown,,PC,,,,,,
Sky Odyssey,0.32,,Activision,2000,PS2,,0.16,0.04,0.12,,
Folklore,0.32,,Sony Computer Entertainment,2007,PS3,0.05,0.2,0.03,0.04,8.7,7.5
Zeno Clash,,0.32,Tripwire Interactive,2009,PC,,,,,,
Nagano Winter Olympics 98,0.32,,Konami,1998,N64,0.13,0.15,0,0.04,,
Rayman 2: The Great Escape,0.32,,Ubisoft,2000,PS,,0.18,0.02,0.12,,8.7
Kirby's Block Ball,0.32,,Nintendo,1996,GB,0.32,,,,,
South Park: The Fractured But Whole,,0.32,Ubisoft,2017,PC,,,,,,
Fortress,0.32,,Majesco,2001,GBA,,0.23,0.01,0.08,,6.6
Blood Omen: Legacy of Kain,,0.32,Crystal Dynamics,1996,All,,,,,,
FIFA 2001 Major League Soccer,0.32,,EA Sports,2000,PS,,0.18,0.02,0.12,,
Karaoke Revolution Presents American Idol Encore 2,0.32,,Konami,2008,Wii,,0.3,0.02,,,
HunieCam Studio,,0.32,Unknown,,PC,,,,,,
Fantastic Four,,0.32,Activision,2005,All,,,,,,
Mobile Suit Gundam Battlefield Record U.C.0081,,0.32,Bandai,2009,PS3,,,,,,
Rally Cross,0.32,,Sony Computer Entertainment,1997,PS,,0.18,0.02,0.12,,
Frogger's Adventures: The Rescue,0.32,,Konami,2003,PS2,,0.16,0.04,0.12,,
Extreme Pinball,0.32,,Electronic Arts,1996,PS,,0.18,0.02,0.12,,
Karaoke Revolution Volume 3,0.32,,Konami,2004,PS2,,0.16,0.04,0.12,,
Phineas and Ferb: Across the 2nd Dimension,0.32,,Disney Interactive Studios,2011,PS3,,0.15,0.05,0.12,,6.8
The Jackbox Party Pack 3,,0.32,Jackbox Games,2016,PC,,,,,,
Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima,0.32,,ASCII Entertainment,2001,PS2,0.32,,,,,
Street Fighter Alpha 2,0.32,,Capcom,1996,SAT,0.32,,,,,8.1
No.1 Muscle Ranking - Kinniku Banzuke Vol. 1: Oregasaikyouno Otokoda!,0.32,,Konami,1999,PS,0.3,,0.02,,,
Spintires: MudRunner,,0.32,Focus Home Interactive,2017,PC,,,,,,
Cartoon Network Collection: Game Boy Advance Video Platinum Edition,0.32,,Majesco,2005,GBA,,0.23,0.01,0.08,,
Ultimate Fighting Championship: Throwdown,0.32,,Crave Entertainment,2002,PS2,,0.16,0.04,0.12,,
SpongeBob SquarePants: Double Pack,0.32,,THQ,2005,GBA,,0.23,0.01,0.08,,
Tetris 2 + Bombliss,0.32,,BPS,1991,NES,0.32,,,,,
"Carnival Games: Monkey See, Monkey Do!",0.32,,2K Play,2011,X360,,0.14,0.03,0.15,,
Disney's Extreme Skate Adventure,0.32,,Activision,2003,PS2,,0.16,0.04,0.12,,
Rock Band Country Track Pack,0.32,,MTV Games,2009,PS2,,0.16,0.04,0.12,,
WipEout Pulse,0.32,,Sony Computer Entertainment,2008,PSP,,0.13,0.06,0.12,,8.2
Farming Simulator 19,0.32,,Focus Home Interactive,2018,XOne,,0.19,0.03,0.09,,
Prey,0.32,,2K Games,2006,X360,,0.27,0.02,0.03,,8.2
"Ed, Edd n Eddy: Jawbreakers!",0.32,,BAM! Entertainment,2002,GBA,,0.23,0.01,0.08,,5
F1 2016,,0.32,Codemasters,2017,PC,,,,,,
NEKOPARA Vol. 2,,0.32,Unknown,,PC,,,,,,
Dragster,0.32,,Activision,1980,2600,,0.3,0,0.02,,
Frankenstein's Monster,0.32,,Data Age,1983,2600,,0.3,0,0.02,,
BlazBlue: Chrono Phantasma,0.32,,Arc System Works,2014,PS3,0.14,0.15,0.03,,,
Riven: The Sequel to Myst,0.32,,Acclaim Entertainment,1997,PS,,0.18,0.02,0.12,,
Derby Stallion DS,0.32,,Enterbrain,2008,DS,0.32,,,,,
Cabela's Dangerous Hunts 2011,0.32,,Activision,2010,X360,,0.28,0.02,0.01,,
The Darkness II,0.32,,2K Games,2012,PS3,,0.14,0.04,0.14,,
Cars 3: Driven to Win,0.32,,Warner Bros. Interactive Entertainment,2017,NS,0.02,0.13,0.02,0.14,,
The Biggest Loser,0.32,,THQ,2009,DS,,0.18,0.03,0.11,,
NBA 2K3,0.32,,Sega,2002,XB,,0.24,0.01,0.07,,
Batman: Arkham Origins,0.32,,Warner Bros. Interactive Entertainment,2013,WiiU,0,0.19,0.03,0.1,,
Dragon Ball Z: Battle of Z,0.32,,Namco Bandai Games,2014,PS3,0.07,0.1,0.04,0.11,,
Dragon Quest Monsters: Battle Road Victory,0.32,,Square Enix,2010,Wii,0.32,,,,,
Shin Momotarou Densetsu,0.32,,Hudson Soft,1993,SNES,0.32,,,,,
From TV Animation One Piece: Grand Battle! 3,0.32,,Bandai,2003,PS2,0.32,,,,,
Puzzle & Dragons X: God Chapter / Dragon Chapter,0.32,,GungHo Online Entertainment,2016,3DS,0.32,,,,,
Bigfoot: Collision Course,0.32,,Zoo Digital Publishing,2008,Wii,,0.3,0.02,,,
Sega Smash Pack,0.32,,THQ,2002,GBA,,0.23,0.01,0.08,,
All-Star Baseball 2005,0.32,,Acclaim Entertainment,2004,PS2,,0.16,0.04,0.12,,
Marvel Nemesis: Rise of the Imperfects,0.32,,Electronic Arts,2005,PSP,,0.29,0.02,0,,6.8
The Conveni: Ano Machi wo Dokusen Seyo,0.32,,Human Entertainment,1997,PS,0.3,,0.02,,,
Shin Super Robot Taisen Special Disk,0.32,,Banpresto,1997,PS,0.3,,0.02,,,
Live A Live,0.32,,Square,1994,SNES,0.32,,,,,
NFL Fever 2004,0.32,,Microsoft Game Studios,2003,XB,,0.24,0.01,0.07,,
Madden NFL 2002,0.32,,EA Sports,2001,GBA,,0.23,0.01,0.08,,
UEFA Euro 2008 Austria-Switzerland,0.32,,Electronic Arts,2008,PS2,,0.03,0.28,0,,
Test Drive Unlimited,0.32,,Atari,2006,X360,0.02,0.23,0.02,0.04,,8
Singularity,0.32,,Activision,2010,X360,0,0.24,0.03,0.04,,7.7
Birthday Party Bash,0.32,,2K Play,2009,Wii,,0.29,0.02,0,,
Kingdom Under Fire: The Crusaders,0.32,,Microsoft,2004,XB,,0.24,0.01,0.07,,
Goosebumps HorrorLand,0.32,,Scholastic Inc.,2008,DS,,0.29,0.02,0,,
4x4 Evolution,0.32,,Gathering of Developers,2001,PS2,,0.16,0.04,0.12,,
Clive Barker's Jericho,0.32,,Codemasters,2007,X360,,0.28,0.02,0.01,,5.8
LEGO The Lord of the Rings,0.32,,Warner Bros. Interactive Entertainment,2012,PSV,,0.09,0.07,0.16,,
Overlord II,0.32,,Codemasters,2009,PS3,,0.11,0.05,0.15,,
Momotarou Dentetsu Happy,0.32,,Hudson Soft,1996,SNES,0.32,,,,,
Power Rangers: Time Force,0.32,,THQ,2001,PS,,0.18,0.02,0.12,,
Payday 2,0.32,,505 Games,2015,PS4,,0.12,0.05,0.14,,6.5
Romance of the Three Kingdoms VII,0.32,,KOEI,2002,PS2,0.16,0.08,0.02,0.06,,
Atom Zombie Smasher,,0.32,Unknown,2011,PC,,,,,,7.2
Chicken Blaster,0.32,,Zoo Games,2009,Wii,,0.29,0.02,0,,
Littlest Pet Shop: City Friends,0.32,,Electronic Arts,2009,DS,,0.29,0.02,0,,
BlazBlue: Continuum Shift,0.32,,Aksys Games,2010,X360,0.02,0.23,0.02,0.04,,8.6
DJ Hero,0.32,,Activision,2009,PS2,,0.1,0.2,0.02,,8.3
"Monsters, Inc.",0.32,,Sony Computer Entertainment,2002,PS2,,0.15,0.04,0.12,,
Rugby World Cup 2011,0.32,,505 Games,2011,PS3,,,0.07,0.25,,4.5
One Way Heroics,,0.32,Unknown,,PC,,,,,,
Quiz Magic Academy DS,0.32,,Konami,2008,DS,0.32,,,,,
Crash of the Titans,0.32,,Sierra Entertainment,2007,X360,,0.27,0.02,0.02,,6.6
Dynasty Warriors 4 Empires,0.32,,KOEI,2004,PS2,0.32,,,,,
Shenmue II,0.32,,Microsoft,2002,XB,,0.22,0.01,0.08,,7.9
Heart of Darkness,0.32,,Interplay,1998,PS,,0.18,0.02,0.12,,
Virtua Striker 2,0.32,,Sega,2000,DC,0.32,,,,,
Little Deviants,0.32,,Sony Computer Entertainment,2012,PSV,,0.14,0.05,0.13,,
Shin Megami Tensei: Devil Survivor 2,0.31,,Atlus,2012,DS,0.12,0.16,0.01,0.02,,
SimplePlanes,,0.31,Unknown,,PC,,,,,,
LUFTRAUSERS,,0.31,Vlambeer,2014,PC,,,,,,
Shrek the Third,0.31,,Activision,2007,PSP,,0.08,0.09,0.15,,
WarCraft II: The Dark Saga,0.31,,Electronic Arts,1997,PS,,0.18,0.02,0.12,,7.3
1001 Touch Games,0.31,,Unknown,2011,DS,,0.11,0.03,0.17,,
METRO Redux,0.31,,Deep Silver,2014,XOne,,0.15,0.03,0.14,,
MonHun Nikki: Poka Poka Ailu Mura G,0.31,,Capcom,2011,PSP,0.31,,,,,
Harry Potter and the Half-Blood Prince,0.31,,Electronic Arts,2009,X360,,0.17,0.03,0.11,,
Tricky Towers,,0.31,Unknown,,PC,,,,,,
Crash Nitro Kart,0.31,,VU Games,2003,XB,,0.24,0.01,0.07,,
Monster Lab,0.31,,Eidos Interactive,2008,Wii,,0.27,0.02,0.02,,
Tales of Phantasia,,0.31,Nintendo,2006,GBA,,,,,,7
NBA ShootOut,0.31,,Sony Computer Entertainment,1996,PS,,0.17,0.02,0.12,,
Bust-A-Move Universe,0.31,,Square Enix,2011,3DS,0.06,0.08,0.02,0.15,,5.6
Jikkyou Powerful Pro Yakyuu 14,0.31,,Konami,2007,PS2,0.31,,,,,
Fishing Master,0.31,,Konami,2007,Wii,,0.29,0.02,0,,
Ultimate Marvel vs. Capcom 3,0.31,,Capcom,2012,PSV,,0.17,0.05,0.09,,
Peppa Pig: Theme Park Fun,0.31,,P2 Games,2011,DS,,,0.03,0.28,,
Madden NFL 2004,0.31,,EA Sports,2003,GBA,,0.22,0.01,0.08,,
Digimon World: Dawn / Dusk,0.31,,Namco Bandai,2007,DS,0.18,0.12,0.01,,,
Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,0.31,,Konami,1995,SNES,0.31,,0,,,
Manhunt 2,0.31,,Rockstar Games,2007,PSP,,0.04,0.1,0.18,,
Jikkyou Powerful Pro Yakyuu Portable 3,0.31,,Konami,2008,PSP,0.31,,,,,
Mario Golf,0.31,,Nintendo,1999,GB,0.31,,,,,
Pandora's Tower,0.31,,Xseed Games,2013,Wii,0.08,0.11,0.03,0.1,,
Sonic Boom: Rise of Lyric,0.31,,Sega,2014,WiiU,,0.19,0.03,0.09,,3.7
Sesame Street: Elmo's Letter Adventure,0.31,,NewKidCo,1998,PS,,0.17,0.02,0.12,,
Catherine,0.31,,Atlus,2011,X360,0.03,0.2,0.02,0.06,,7.9
NBA Inside Drive 2003,0.31,,Microsoft Game Studios,2002,XB,,0.23,0.01,0.07,,
Super Robot Wars OG Gaiden,,0.31,Unknown,,PS2,,,,,,
FIFA Street,0.31,,EA Sports BIG,2005,PS2,,0.15,0.04,0.12,,
Namco Museum: Virtual Arcade,0.31,,Namco Bandai,2008,X360,0.01,0.27,0.02,0.01,,7
Monsters vs. Aliens,0.31,,Activision,2009,PS3,,0.21,0.04,0.06,,
Sniper Elite III,0.31,,505 Games,2014,PS3,,0.12,0.05,0.14,,
Jampack: Summer 2003 (RP-M),0.31,,Sony Computer Entertainment,2003,PS2,,0.15,0.04,0.12,,
Alone in the Dark: One-Eyed Jack's Revenge,0.31,,Kokopeli Digital Studios,1996,PS,,0.17,0.02,0.12,,
Yu-Gi-Oh! The Dawn of Destiny,0.31,,Konami,2004,XB,,0.23,0.01,0.07,,
The Matrix: Path of Neo,0.31,,Atari,2005,XB,,0.23,0.01,0.07,,6.7
Mega Man Maverick Hunter X,0.31,,Capcom,2006,PSP,,0.27,0.03,0.01,,7.9
Modnation Racers: Road Trip,0.31,,Sony Computer Entertainment,2012,PSV,,0.15,0.05,0.11,,
Mortal Kombat: Shaolin Monks,0.31,,Midway Games,2005,XB,,0.23,0.01,0.07,,
Gold's Gym: Cardio Workout (Others sales),0.31,,Ubisoft,2009,Wii,,,0.02,0.3,,
7 Wonders II,0.31,,Mumbo Jumbo,2010,DS,,0.13,0.03,0.15,,
Einhänder,0.31,,Sony Computer Entertainment,1998,PS,0.13,0.1,0.02,0.07,,
Tiny Toon Adventures: The Great Beanstalk,0.31,,NewKidCo,1998,PS,,0.17,0.02,0.12,,
Foto Frenzy: Spot The Diffrence,0.31,,Storm City Games,2009,DS,,0.29,0.02,,,
Atonement: Scourge of Time,,0.31,Unknown,,PC,,,,,,
The LEGO Movie Videogame,0.31,,Warner Bros. Interactive Entertainment,2014,PSV,,0.04,0.07,0.2,,
XCOM 2,0.31,,2K Games,2015,PC,,0.12,0.02,0.16,,
Yellow: The Yellow Artifact,,0.31,Unknown,,PC,,,,,,
SimAnimals,0.31,,Electronic Arts,2009,Wii,,0.14,0.03,0.14,,
Clash of the Titans: The Videogame,0.31,,Namco Bandai,2010,PS3,0.01,0.09,0.05,0.15,,
My Horse & Me,0.31,,Atari,2008,Wii,,0.27,0.02,0.02,,
The Legend of Spyro: Dawn of the Dragon,0.31,,Vivendi Games,2008,X360,,0.16,0.03,0.13,,
Dragon Quest Builders: Revive Alefgard,0.31,,Square Enix,2016,PSV,0.31,,,,,
Fuel,0.31,,Codemasters,2009,X360,0,0.09,0.04,0.18,,6.6
UEFA Euro 2016,0.31,,Konami Digital Entertainment,2016,PS4,0.05,,0.04,0.22,,
Barbie as The Island Princess,0.31,,Activision,2007,DS,,0.28,0.02,0.01,,
Project Starship,,0.31,Unknown,,PC,,,,,,
Armored Core: Silent Line,0.31,,Agetec,2003,PS2,0.16,0.07,0.02,0.06,,
SD Gundam G Generation Wars,0.31,,Bandai,2009,PS2,0.31,,,,,
Dr. Seuss: How the Grinch Stole Christmas,0.31,,CokeM Interactive,2007,DS,,0.29,0.02,,,
Happy Feet,0.31,,Midway Games,2006,DS,,0.27,0.02,0.01,,
A.C.E.: Another Century's Episode R,,0.31,Namco Bandai,2010,PS3,,,,,,
Animal Crossing,0.31,,Nintendo,2001,N64,0.26,,0.05,,,
Bass Hunter 64,0.31,,Take-Two Interactive,1999,N64,,0.25,0,0.06,,6
Panzer Dragoon II Zwei,0.31,,Sega,1996,SAT,0.31,,0,,,
KISS Pinball,0.31,,Take-Two Interactive,2001,PS,,0.17,0.02,0.12,,
Brothers In Arms: Earned In Blood,0.31,,Ubisoft,2005,XB,,0.23,0.01,0.07,,
Dark Void,0.31,,Capcom,2010,X360,,0.19,0.03,0.09,,6.1
Dead or Alive: Dimensions,,0.31,Tecmo Koei,2011,3DS,,,,,,7.8
DmC Devil May Cry: Definitive Edition,0.31,,Capcom,2015,PS4,,0.12,0.05,0.13,,
Fairy Tail,,0.31,Koei Tecmo,2020,All,,,,,,
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,0.31,,THQ,2005,GBA,,0.22,0.01,0.08,,
Super Robot Taisen Complete Box,0.31,,Banpresto,1999,PS,0.29,,0.02,,,
Goemon's Great Adventure,0.31,,Konami,1999,N64,0.13,0.06,0.1,0.02,,
Hot Wheels Turbo Racing,0.31,,Electronic Arts,1999,N64,,0.25,0,0.06,,
Jikkyou Powerful Pro Yakyuu 4,0.31,,Konami,1997,N64,0.26,,0.05,,,
Vigilante 8,0.31,,Activision,1998,N64,,0.25,0,0.06,,
Warriors  Orochi 4,,0.31,Koei Tecmo,2018,NS,,,,,,8.5
Hitman,0.31,,Square Enix,2017,XOne,,0.2,0.03,0.08,,
MySims SkyHeroes,0.31,,Electronic Arts,2010,DS,,0.2,0.03,0.08,,
Half Minute Hero: Super Mega Neo Climax Ultimate Boy,,0.31,Unknown,,PC,,,,,,
Major League Baseball 2K8,0.31,,2K Sports,2008,PS3,0,0.28,0.03,,,
Might & Magic: Clash of Heroes,,0.31,Ubisoft,2011,PC,,,,,8,
SingStar Take That,0.31,,Sony Computer Entertainment,2009,PS3,,,0.03,0.28,,
J-League Winning Eleven 2007: Club Championship,0.31,,Konami,2007,PS2,0.31,,,,,
Star Wars Jedi Knight II: Jedi Outcast,0.31,,LucasArts,2003,XB,,0.23,0.01,0.07,,
Mega Man Battle Network 2,0.31,,Ubisoft,2002,GBA,,0.22,0.01,0.08,,
Mega Man Zero Collection,0.31,,Capcom,2010,DS,0.11,0.17,0.02,0.01,,7.5
Lord of the Rings: Battle for Middle-Earth,0.31,,Electronic Arts,2006,X360,,0.28,0.02,,,
Lego Batman 3: Beyond Gotham,0.31,,Warner Bros. Interactive Entertainment,2014,PSV,,0.05,0.07,0.19,,
Mountain King,0.31,,CBS Electronics,1983,2600,,0.29,0,0.02,,
Tiger Woods PGA Tour 06,0.31,,EA Sports,2005,X360,,0.28,0.02,0,,6.9
Jampack Volume 12,0.31,,Sony Computer Entertainment,2005,PS2,,0.15,0.04,0.12,,
Shaun White Snowboarding,0.31,,Ubisoft,2008,PS2,,0.15,0.04,0.12,,6.2
Devil Summoner: Soul Hackers,0.31,,Atlus,1997,SAT,0.31,,,,,
Shrek's Carnival Craze Party Games,0.31,,Activision,2008,Wii,,0.28,0.02,0,,
The Incredible Hulk,0.31,,Sega,2008,Wii,,0.28,0.02,0.01,,
Sonic Mania,0.31,,Sega,2017,PS4,0.01,0.1,0.05,0.15,,
J Stars Victory Vs.,0.31,,Namco Bandai Games,2015,PS4,,0.11,0.05,0.14,,
Demolition Racer,0.31,,Infogrames,1999,PS,,0.17,0.02,0.12,,
Midway Arcade Treasures 2,0.31,,Midway Games,2004,XB,,0.24,0.01,0.05,,
Final Fantasy IV,0.31,,SquareSoft,2001,PS,0.29,,0.02,,,
MX vs. ATV Reflex,,0.31,Unknown,,PC,,,,,,
Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,0.31,,Konami,2010,DS,0.09,0.18,0.02,0.02,,7.6
NASCAR Thunder 2003,0.31,,EA Sports,2002,GC,,0.24,0.01,0.06,,8.8
Mercenary Kings,,0.31,Tribute Games,2014,PC,,,,,,
XCOM 2,0.31,,2K Games,2016,PS4,,0.16,0.05,0.1,,
Ehrgeiz,0.3,,Square,1999,PS,,0.17,0.02,0.12,,6.7
Touhoku Daigaku Mirai Kagaku Gijutsu Kyoudou Kenkyuu Center Kawashima Ryuuta Kyouju Kanshu: Nou Ryoku Trainer Portable,0.3,,Sega,2005,PSP,0.3,,,,,
Spyro: Attack of the Rhynocs,0.3,,Universal Interactive,2003,GBA,,0.22,0.01,0.08,,
"Army Men World War: Land, Sea, Air",0.3,,3DO,2000,PS,,0.17,0.02,0.12,,
2nd Super Robot Wars Original Generation,0.3,,Namco Bandai Games,2012,PS3,0.3,,,,,
Madagascar,0.3,,Activision,2005,DS,,0.25,0.02,0.03,,6.3
Naruto: Ninja Destiny (US sales),0.3,,D3 Publisher,2008,DS,,0.3,,,,
Tom Clancy's Splinter Cell 3D,0.3,,Ubisoft,2011,3DS,0.07,0.14,0.02,0.07,,8
Magic 2015 - Duels of the Planeswalker,,0.3,Wizards of the Coast,2014,PC,,,,,,
Battlefield: Hardline,0.3,,Electronic Arts,2015,X360,,0.18,0.03,0.09,,
Jumping Flash!,0.3,,Sony Computer Entertainment,1995,PS,0.21,0.05,0.02,0.03,,
Karaoke Revolution Party,0.3,,Konami,2005,PS2,,0.15,0.04,0.12,,
Burnout,0.3,,Acclaim Entertainment,2002,GC,,0.23,0.01,0.06,,7.7
Cities: Skylines,0.3,,Koch Media,2017,PS4,0.04,0.15,0.05,0.07,,
Lizzie McGuire 3: Homecoming Havoc,0.3,,Buena Vista,2005,GBA,,0.22,0.01,0.08,,
Lumines ll,0.3,,Buena Vista,2006,PSP,,0.12,0.07,0.12,,8
Chaos Legion,0.3,,Capcom,2003,PS2,,0.15,0.04,0.12,,6.2
Charlie and the Chocolate Factory,0.3,,Global Star Software,2005,GBA,,0.22,0.01,0.08,,
Neopets: The Darkest Faerie,0.3,,Sony Computer Entertainment,2005,PS2,,0.15,0.04,0.12,,
Blazing Heroes,0.3,,Sega,1996,SAT,0.3,,0,,,
Rhythm Tengoku,0.3,,Nintendo,2006,GBA,0.3,,0.01,,,
Monopoly for Nintendo Switch,0.3,,Ubisoft,2017,NS,0.01,0.06,0.02,0.22,,5.3
NBA 2K19,0.3,,2K Sports,2018,NS,0.01,0.24,0.03,0.02,,
Super Robot Taisen W,0.3,,Banpresto,2007,DS,0.3,,,,,
Cart World Series,0.3,,Sony Computer Entertainment,1997,PS,,0.17,0.02,0.11,,7
Sing Party,0.3,,Nintendo,2012,WiiU,,0.15,0.03,0.13,,6.8
24: The Game,0.3,,2K Games,2006,PS2,,0.15,0.04,0.12,,
