Game,Total_Sales,Copies,Publisher,Year,Console,JP_Sales,NA_Sales,Other_Sales,EU_Sales,User_Score,Critic_Score
Rayman Raving Rabbids,,20,Ubisoft,2006,Series,,,,,,
SimCity,,20,Maxis,1989,Series,,,,,,
Metro,,12.2,THQ,2010,Series,,,,,,
Wario,,12.13,Nintendo,1994,Series,,,,,,
7 Days to Die,,12,The Fun Pimps,2013,All,,,,,,
Assassin's Creed III,,12,Ubisoft,2012,All,,,,,,
Lego Batman: The Videogame,,11,Warner Bros. Interactive Entertainment,2008,All,,,,,,
Mortal Kombat X,,11,Warner Bros. Interactive Entertainment,2015,All,,,,,,
NBA 2K21,,11,2K Sports,2020,All,,,,,,
Need for Speed: Underground 2,,11,Electronic Arts,2004,All,,,,,,
Simple,,20,Agetec,2002,Series,,,,,,
SingStar,,20,Sony Interactive Entertainment,2004,Series,,,,,,
Sniper Elite,,20,Rebellion Developments,2005,Series,,,,,,
Spyro,,20,Sony Interactive Entertainment,1998,Series,,,,,,
Assetto Corsa,,12,Kunos Simulazioni,2014,All,,,,,,
Sniper: Ghost Warrior,,11,City Interactive,2008,Series,,,,,,
StarCraft,,11,Blizzard Entertainment,1998,PC,,,,,,8.7
Tomb Raider (2013),,11,Square Enix,2013,All,,,,,,
Stardew Valley,,20,Chucklefish,2016,Series,,,,,,
Stardew Valley,,20,ConcernedApe,2016,All,,,,,,
Bomberman,,12,Konami,1987,Series,,,,,,
Cooking Mama,,12,Majesco Entertainment,2006,Series,,,,,,
Diablo III,,12,Blizzard Entertainment,2012,PC,,,,,,9
Half-Life 2,,12,VU Games,2004,PC,,,,,,9.7
Jak and Daxter,,12,Sony Interactive Entertainment,2001,Series,,,,,,
FIFA 17,10.94,,Electronic Arts,2016,PS4,0.12,1.26,1.61,7.95,,8.9
Resident Evil 6,,10.9,Capcom,2012,All,,,,,,
Need for Speed: ProStreet,,10.9,Electronic Arts,2007,All,,,,,,
Gran Turismo,,10.85,Sony Computer Entertainment,1998,PS,,,,,,9.5
Tom Clancy's The Division,,20,Ubisoft,2016,Series,,,,,,
Watch Dogs,,20,Ubisoft,2014,Series,,,,,,
God of War (2018),,19.5,Sony Interactive Entertainment,2018,PS4,,,,,10,9.7
Grand Theft Auto V,19.39,,Rockstar Games,2014,PS4,0.6,6.06,3.02,9.71,,9.7
StarCraft,,19.1,Blizzard Entertainment,1998,Series,,,,,,
Left 4 Dead,,12,Valve,2008,Series,,,,,,
Monster Hunter Rise,,12,Capcom,2021,All,,,,,,
Mortal Kombat 11,,12,Warner Bros. Interactive Entertainment,2019,All,,,,,,
NBA 2K19,,12,2K Sports,2018,All,,,,,,
Pokémon FireRed / LeafGreen Version,,12,Nintendo,2004,GBA,,,,,,8.3
SOCOM,,12,Sony Interactive Entertainment,2002,Series,,,,,,
Super Mario 3D World + Bowser's Fury,,10.82,Nintendo,2021,NS,,,,,,
Call of Duty: Modern Warfare 2,10.61,,Activision,2009,PS3,0.38,4.99,1.59,3.66,,9.5
