Game,Publisher,Critic_Score,User_Score,Copies,Total_Sales,Year,Genre
Toriko: Gourmet Battle!,Namco Bandai Games,,,,0.06,2013,Role-Playing
Ganbare Goemon: Hoshizorashi Dynamites Arawaru!!,Konami,,,,,2000,Platform
Pikmin 3,Nintendo,8.7,,1.27,,2013,Strategy
Battle for Troy,ValuSoft,,,,,2004,Strategy
Tempo Jr.,Sega,,,,,1995,Platform
Baseball Heroes,Atari,,,,,1992,Action
Jikkyou Powerful Pro Yakyuu 4,Konami,,,,0.31,1997,Sports
Tokyo Ghoul: Jail,Namco Bandai Games,,,,0.06,2015,Role-Playing
Oni V: Innin no Tsugumono,Banpresto,,,,,1995,Role-Playing
John Tiller's Battleground Napoleonic Wars,Matrix Games,,,,,2007,Strategy
Knightmare: Majou Densetsu,Konami,,,,,2009,Shooter
Mary King's Riding School,Ghostlight,,,,0.02,2008,Simulation
SPIKEY WALLS,RCMADIAX,,,,,2014,Action
Fluffy: Operation Overkill,Microsoft,,,,,2011,Action
Goooooal Europa 2012,Cinemax,,,,,2012,Misc
Extrasolar,Lazy 8 Studios,,,,,2014,Simulation
Shin Megami Tensei: Persona 4,Atlus,9.2,,0.41,,2008,Role-Playing
From TV Animation One Piece: Treasure Wars,Bandai,,,,,2002,Action
Karaoke JOYSOUND for Switch,Xing Entertainment,,,,,2017,Music
Shenmue III,Deep Silver,,,,,2019,Action-Adventure
Super Bowling,UFO Interactive,,,,0.02,2001,Sports
Sakura Taisen Monogatari: Mysterious Paris,Sega,,,,,2004,Adventure
Golf Club 2,Maximum Games,,,,0.13,2017,Sports
Teenage Mutant Ninja Turtles: Out of the Shadows,Activision,,,,0.01,2013,Misc
TOCA Touring Car Championship,THQ,,,,,2000,Racing
Wanted Corp.,Zoo Games,,,,,2011,Shooter
South Park: The Stick of Truth,Ubisoft,,,,0.19,2014,Role-Playing
Crazy Machines 2: Liquid Force,Viva Media,,,,,2009,Puzzle
From TV Animation One Piece: Grand Battle Swan Colosseum,Bandai,,,,,2002,Fighting
Slots - Titans Way,Playmore Corporation,,,,,2013,Misc
Aiyoku no Eustia,Dramatic Create,,,,0.01,2014,Misc
How To Get Girls,Microsoft,,,,,2011,Misc
God of War: Chains of Olympus,Sony Computer Entertainment,8.8,,,,2009,Action
The Lord of the Rings Online: Mines of Moria,Turbine Inc.,,,,0.02,2008,Role-Playing
Castle Shikigami 2,XS Games,,,,0.02,2004,Shooter
Cyber Troopers Virtual-On Marz,Sega,,,,0.04,2003,Fighting
Operation Flashpoint: Red Hammer,Codemasters,,,,,2002,Shooter
Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima,Namco Bandai Games,,,,0.08,2012,Action
Syphon Filter 3,Sony Computer Entertainment,,,,0.52,2001,Shooter
Blocks That Matter,Unknown,,,0.21,,2011,Action
Street Fighter II Turbo,Capcom,9,,4.1,,1993,Fighting
Arubarea no Otome: Uruwashi no Seishikitachi,Sony Computer Entertainment,,,,,2009,Role-Playing
Fables & Fiends,Virgin Games,,,0.25,,1992,Adventure
Tim Burton's The Nightmare Before Christmas: The Pumpkin King,Buena Vista,,,,0.14,2005,Platform
Super Tetris 2 + Bombliss: Gentei Han,Bullet Proof Software,,,,,1994,Puzzle
Yourself Fitness,responDESIGN,,,,0.09,2004,Sports
Kingdom Hearts: Trinity Master Pieces,Square Enix,,,,,2005,Role-Playing
Party Planet,Mastiff,,,,0.12,2017,Misc
Llama Or Duck?!,CodProd,,,,,2012,Misc
Bee Movie Game,Activision,6,,,0.45,2007,Action
Amber: Journeys Beyond,Graphic Simulations,,,,,1996,Adventure
King Arthur: The Druids,Paradox Interactive,,,,,2011,Role-Playing
"Towers of Darkness: Heretic, Hexen & Beyond",id Software,,,,,1997,Shooter
ACA NEOGEO KARNOV'S REVENGE,Hamster Corporation,,,,,2017,Fighting
The Solus Project,Teotl Studios,,,0.14,,2016,Adventure
Need for Speed: Underground,Electronic Arts,,,15,,2003,Racing
Ridge Racer 7,Namco Bandai,,,,1.37,2006,Racing
Nobunaga's Ambition: Iron Triangle,KOEI,,,,0.09,2009,Strategy
Tiger Woods PGA Tour 14,EA Sports,,,,0.39,2013,Sports
Action Game: Tobeyo!! Dragon!,SilverStar,,,,,2010,Action
Hakuoki: Shinkai - Furi no Shou,Idea Factory,,,,0.02,2015,Action
Dead Rising 2: Case West,Capcom,7.6,,,,2010,Action
Shinobi Legions,Victory Lap Games,,,,,1995,Action
Headliner: NoviNews,Chorus Worldwide Games,,,,,2019,Adventure
Backyard NFL Football 2006,Atari,,,,0.2,2005,Sports
Time Bokan Series: Bokan to Ippatsu! Doronbo,Banpresto,,,,,1996,Shooter
Crystal Defenders R1,Square Enix,6.4,,,,2009,Strategy
The 11th Hour,Virgin Interactive,,,,,1995,Adventure
FIFA Soccer 06,EA Sports,,,,0.68,2005,Sports
Samantha Swift and the Fountains of Fate,Mumbo Jumbo,,,,,2011,Action-Adventure
Enemy Engaged Comanche Versus Hokum,Empire Interactive,,,,,2000,Simulation
Test Drive 4,Accolade,,,,1.21,1997,Racing
MX vs. ATV All Out,THQ Nordic,,,,,2020,Racing
Soul Hackers 2,Sega,,,,,2022,Role-Playing
Yamasa Digi World SP: Umi Ichiban R,Yamasa Entertainment,,,,,2003,Misc
Othello Millennium,Unknown,,,,,1999,Misc
Discovery Kids: Spider Quest,505 Games,,,,0.08,2009,Misc
Tetris (PSP),Electronic Arts,,,,,2009,Puzzle
Hotel Giant 2,Nobilis,,,,0.03,2010,Strategy
Console Info,Microsoft,,,,,2010,Misc
The Guild 3,THQ Nordic,,,,,2020,Role-Playing
Juushin Enbu DS,D3 Publisher,,,,,2007,Action
Vector Racing,Arc System Works,,,,,2011,Racing
Metal Max 4: Gekkou no Diva,Kadokawa Shoten,,,,0.06,2013,Role-Playing
Gakkou o Tsukurou!! Happy Days,Marvelous Interactive,,,,,2005,Simulation
Modern Combat 5: Blackout,Gameloft,,,,,2014,Shooter
NARC,Midway Games,5.5,,,0.36,2005,Shooter
Love Hina: Smile Again,Sega,,,,,2001,Adventure
Jikkyou Powerful Pro Yakyuu 6,Konami,,,,0.42,1999,Sports
Dragonshard,Atari,,,,,2005,Strategy
Evolution: Battle for Utopia,MY.COM,,,,,2014,Misc
The Surge,Focus Home Interactive,,,,0.12,2017,Action
Ultimate Fighting Championship,Crave Entertainment,,,,0.25,2000,Fighting
Assault City,Sega,,,,,1990,Shooter
Warriors of Vilvatikta,Back To Basics Gaming,,,0.24,,2016,Adventure
Jikkyou Powerful Pro Yakyuu '98 Ketteiban,Konami,,,,0.27,1998,Sports
HonorBound,JuiceBox Games,,,,,2013,Misc
NHL Hitz 20-03,Midway Games,,,,0.28,2002,Sports
The Sims 2: Castaway,Electronic Arts,,,,1.21,2007,Simulation
Fushigi no Dungeon: Fuurai no Shiren Gaiden: Jokenji Asuka Kenzan!,Sega,,,,,2002,Role-Playing
Rushing Punch,Microsoft,,,,,2011,Fighting
TouchMaster 3(Others sales),Warner Bros. Interactive,,,,0.26,2009,Puzzle
Nemesis of the Roman Empire,Enlight,,,0.25,,2004,Strategy
Mabinogi,Nexon,,,,,2008,Role-Playing
MTV Celebrity Deathmatch,Gotham Games,,,,0.76,2003,Fighting
Jakou no Lyla: Trap of Musk,Idea Factory,,,,,2019,Visual Novel
Slotter UP Mania 4,Dorart,,,,,2004,Misc
Tsuushin Taisen Mahjong: Touryuumon,AQ Interactive,,,,,2006,Misc
Fairytale Fights,Playlogic Game Factory,4.8,,,0.17,2009,Action
Densha de Go! Pocket: Chuuousen Hen,Taito,,,,,2006,Simulation
Adventures of Yogi Bear,CyberSoft,,,,,1994,Platform
Virtua Quest,Sega,,,,0.02,2005,Role-Playing
Who's That Flying?!,Kalypso Media,7.5,,,,2011,Shooter
Halo 2,Microsoft Game Studios,9.6,,8,,2004,Shooter
ATV Quad Kings,Zoo Digital Publishing,,,,0.22,2009,Racing
NUGA-CEL!,Idea Factory,,,,0.01,2009,Adventure
The Deep Cave,Microsoft,,,,,2010,Platform
Kamigami no Asobi InFinite,Broccoli,,,,0.02,2016,Adventure
Snoopy & The Red Baron,Atari,,,,,1983,Action
Gear Stadium Heiseiban,Namco,,,,,1995,Sports
Exomecha,TwistedRed,,,,,2021,Shooter
"Sumikko Gurashi: Koko, Dokonan Desu?",Nippon Columbia,,,,0.12,2017,Puzzle
rFactor,Image Space Incorporated,,,,0,2005,Racing
NFL Tour,EA Sports BIG,,,,0.12,2008,Sports
RAD,Bandai Namco Entertainment,,,,,2019,Action-Adventure
Puzzle & Action: Tant-R,Sega,,,,0.03,1994,Misc
Aconcagua,Sony Computer Entertainment,,,,,2000,Adventure
16 Shot! Shooting Watch,Hudson Soft,,,,,2010,Action
The Lord of the Rings: Adventure Card Game,Asmodee Digital,,,,,2019,Board Game
SD Gundam World: Gachapon Senshi - Scramble Wars,Namco Bandai,,,,,2010,Strategy
Bubble Bobble Part 2,Taito,,,,,1993,Puzzle
Bomberman II,Hudson Soft,,,,0.44,1992,Puzzle
Hunter x Hunter: Battle Allstars,Namco Bandai Games,,,,,2014,Misc
Reflex Check - Balloon Destroyer,Unknown,,,,,2015,Misc
Nintendo Presents: Crossword Collection,Nintendo,,,,0.21,2009,Puzzle
Pokémon Puzzle Challenge,Nintendo,,,,,2000,Puzzle
Actua Soccer 2,Gremlin Interactive Ltd,,,,,1997,Sports
Aliens: Colonial Marines,Sega,,,,,2013,Misc
Super Stacker,inXile Entertainment,,,,,2010,Puzzle
Music Roll,Microsoft,,,,,2009,Misc
Eets,Klei Entertainment,,,,,2006,Puzzle
Neo Aquarium: The King of Crustaceans,Unknown,,,,,2012,Action
Fushigi no Dungeon: Fuurai no Shiren Gaiden: Onna Kenshi Asuka Kenzan! For Windows,ChunSoft,,,,,2002,Role-Playing
Amazing Adventures: The Forgotten Dynasty,PopCap Games,,,,,2011,Puzzle
Hannah Montana: Spotlight World Tour,Disney Interactive Studios,,,,1.39,2007,Action
Star Ninja,Microsoft,,,,,2011,Misc
Naruto Shippuuden: Gekitou Ninja Taisen! EX 3,Takara Tomy,,,,0.07,2008,Fighting
Ashita no Joe: Masshiro ni Moe Tsukiro!,Konami,,,,,2003,Fighting
Deadlock: Planetary Conquest,Accolade,,,0.1,,1996,Strategy
Canada Hunt,Virtual Play Games,,,,0.02,2010,Sports
Bounty Sword,Pioneer LDC,,,,,1995,Role-Playing
Spelunky 2,BlitWorks,,,,,2020,Action-Adventure
Killer and Strawberry,Broccoli,,,,0.01,2018,Visual Novel
Pac-Man Championship Edition 2 + Arcade Game Series,Namco Bandai Games,,,,0.16,2016,Action
Nekketsu Kouha Kunio-Kun SP Kyousoukyoku,Arc System Works,,,,0.03,2013,Fighting
Mugen Senshi Valis,Tokuma Shoten,,,,,1987,Action
Go Vacation,Namco Bandai,7,,,1.54,2011,Misc
"Invisible, Inc.",Klei Entertainment,,,,,2015,Action
Banjo-Pilot,THQ,6.2,,,0.1,2005,Racing
"King's Quest VI: Heir Today, Gone Tomorrow",Sierra Online,,,0.4,,1992,Adventure
Icarus: Sanctuary of the Gods,JC Research,,,,,1998,Role-Playing
Sega Ages 2500 Series Vol. 8: Virtua Racing -FlatOut-,Sega,,,,,2004,Racing
Silverio Trinity: Beyond the Horizon,Light,,,,,2019,Visual Novel
Arc the Lad,Sony Computer Entertainment,,,0.5,,1995,Role-Playing
Kyuusei Senjutsu Niyoru Heisei Kaiun Koyomi,Unknown,,,,,1994,Misc
Worms: Open Warfare 2,THQ,8.1,,,0.45,2007,Strategy
Atelier,Tadashi,,,,,2000,Adventure
Baby Maker Extreme,Microsoft,,,,,2010,Misc
Simple Series Vol. 5: The Judo,D3 Publisher,,,,,2009,Fighting
Dragon's Crown,Atlus,,,,0.5,2013,Role-Playing
Deadliest Catch: Sea of Chaos,Crave Entertainment,,,,0.12,2010,Sports
Platinum Double Pack: Gears of War / Dead Rising,Capcom,,,,,2007,Misc
Art Style: ZENGAGE,Nintendo,,,,,2009,Puzzle
Dragon Quest: Shounen Yangus to Fushigi no Dungeon,Square Enix,,,0.34,,2006,Role-Playing
Pachio-Kun FX: Maboroshi no Shima Daikessen,NEC,,,,,1995,Misc
Gatling Gears,Electronic Arts,7.6,,,,2011,Shooter
Sparkster,Konami,,,,,1994,Platform
Bulb Boy,Bulbware,,,,,2017,Adventure
Disciples II: Servants of the Dark,Strategy First,,,,,2003,Strategy
Grand Theft Auto IV: The Lost and Damned,Rockstar Games,8.9,,,,2009,Adventure
Moon Cradle,Pack-In-Video,,,,,1997,Adventure
One Epic Game,Unknown,7,,,,2011,Shooter
Dynasty Warriors: Strikeforce,Tecmo Koei,6.4,,,0.45,2009,Action
Decay of Logos,Rising Star Games,,,,,2019,Role-Playing
StokEd,Destineer,,,,0.21,2009,Sports
Cheer We Go!,Natsume,,,,0.04,2010,Misc
Crash Time: Autobahn Pusuit,Crave Entertainment,,,,0.03,2008,Racing
Yamasa Digi World: Collaboration SP Pachi-Slot Ridge Racer,Namco Bandai,,,,,2008,Misc
Little League Baseball 2002,NewKidCo,,,,0,2002,Sports
JGTO Golf Master Mobile,Konami,,,,,2001,Sports
Dragon Quest Builders,Square Enix,,,2.2,,2016,Sandbox
Sansara Naga 2,Victor Interactive,,,,,1994,Role-Playing
Imperium,Victory Lap Games,,,,,1992,Shooter
Transformers: Dark of the Moon - Autobots/Decepticons,Activision,,,,0.44,2011,Action
Kuroyukihime: Snow Black,Quinrose,,,,0.01,2014,Visual Novel
Slave Zero,Infogrames,,,,,1999,Action
Tomodachi Life,Nintendo,7.8,,6.71,,2014,Simulation
Namco Open,Namco,,,,,1993,Sports
Marvel Super Heroes: War of the Gems,Capcom,,,,,1996,Platform
Nanda's Island,Mumbo Jumbo,,,,0.04,2011,Puzzle
Space Channel 5 Part 2,Sega,,,,,2002,Misc
Family Go-Kart Racing,Aksys Games,,,,,2010,Racing
ZhuZhu Pets,Activision,,,,1.04,2010,Simulation
Spacenet: Cosmo Red / Blue,Imagineer,,,,,2001,Role-Playing
Fishdom H2O: Hidden Odyssey,Playrix Entertainment,,,,,2009,Puzzle
Metamor Jupiter,NEC,,,,,1993,Shooter
Heavy Metal Thunder,Square Enix,,,,,2005,Action
In the Hunt,THQ,,,,0.14,1996,Shooter
Arumana no Kiseki (FDS),Konami,,,,,1987,Platform
Ski-doo Snow X Racing,Valcon Games,,,,,2007,Racing
Sports Champions,Sony Computer Entertainment,7.6,,,3.88,2010,Sports
Wand of Fortune R2: Jikuu ni Shizumu Mokushiroku,Idea Factory,,,,0.03,2017,Adventure
PlayStation VR Worlds,Sony Interactive Entertainment,,,,2.16,2016,Misc
Cake Mania,Sandlot Games,,,0.7,,2006,Puzzle
Amnesia: Rebirth,Frictional Games,,,0.1,,2020,Adventure
Amazing World,GANZ,,,,,2014,Adventure
Spintires: MudRunner - American Wilds,Focus Home Interactive,,,,0.08,2018,Racing
Mario Lemieux Hockey,Sega,,,,,1991,Sports
World Championship Games: A Track & Field Event,Game Factory,,,,0.09,2009,Sports
Zombie Pirates,Strategy First,,,,,2010,Strategy
Cid to Chocobo no Fushigi na Dungeon: Toki Wasure no Meikyuu DS+,Square Enix,,,,0.06,2008,Role-Playing
Namco Museum Essentials,Namco Bandai,,,,,2009,Misc
Bomberman Hardball,Ubisoft,,,,,2005,Sports
Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune Portable,Daito,,,,0.03,2006,Misc
Time Stalkers,Sega,,,,,1999,Role-Playing
Cool Boarders 2001,Sony Computer Entertainment,,,,0.41,2000,Sports
Eitango Target 1900,Imagineer,,,,,1996,Misc
Pac-Man Championship Edition,Namco Bandai,8.5,,,,2007,Puzzle
Maxi 15,American Video Entertainment,,,,,1992,Misc
Rainbow Snake,RandomSpin,,,,,2018,Misc
Pia Carrot e Youkoso!! 3.3,NEC Interchannel,,,,,2004,Adventure
Air Combat,Namco,7,,2.23,,1995,Simulation
The Last Blade 2,SNK,,,,,1999,Fighting
Street Fighter V,Capcom,,,6.8,,2016,Fighting
Leedmees,Konami,6.5,,,,2011,Puzzle
Metal Gear,Konami,,,,,2009,Action
Pachi-Slot Love Story,Coconuts Japan,,,,,1993,Misc
Fantasy Hero: Unsigned Legacy,Arc System Works,,,,,2014,Misc
Ikenfell,Humble Bundle,,,,,2020,Role-Playing
Booby Boys,Nichibutsu,,,,,1993,Action
Hatsune Miku -Project DIVA- f,Sega,,,0.23,,2014,Music
New Little King's Story,Konami Digital Entertainment,,,,0.04,2012,Strategy
Chaser,Encore,,,,,2003,Shooter
Mimi Inza Sukai,Microsoft,,,,,2011,Shooter
Star Wars: Fan Favorites II,LucasArts,,,,,2010,Misc
Cool Boarders 2,Sony Computer Entertainment,,,,2.25,1997,Sports
Dragon Quest VII,Enix,8,3,4.3,,2001,Role-Playing
Anima: Ark of Sinners,Unknown,,,,,2011,Platform
World Championship Rugby,Acclaim Entertainment,,,,0.11,2004,Sports
Independence War,Ocean,,,,,1996,Simulation
God Eater,D3Publisher,,,0.61,,2011,Action
London Blitz,Unknown,,,,,1983,Action
WipEout HD Fury,Sony Computer Entertainment,9.1,,,0.07,2009,Racing
300: Rise of an Empire -- Seize Your Glory,Warner Bros. Interactive Entertainment,,,,,2014,Misc
Alice in Cyberland,Glams,,,,,1996,Adventure
TrackMania United,Ascaron Entertainment GmbH,,,,,2006,Racing
Ouchan no Oekaki Logic,Sunsoft,,,,,2000,Puzzle
Dance Aerobics,Nintendo,,,,,1989,Misc
HatsuKare * Renai Debut Sengen!,FuRyu Corporation,,,,0.02,2013,Visual Novel
The House in Fata Morgana: Dreams of the Revenants Edition,Limited Run Games,,,,,2021,Visual Novel
The Sexy Brutale,Badland Games,,,,0.08,2017,Adventure
Bakuretsu Hunter R,King Records,,,,,1997,Adventure
Eve: Rebirth Terror,El Dia,,,,,2019,Visual Novel
Karaoke Revolution Night Selection 2003,Konami,,,,,2003,Misc
Robo Rumble,Interactive Magic,,,,,1998,Strategy
Simple 1500 Jitsuyou Series Vol. 4: Ryouri ~Teiban Ryouri Recipe Shou~,D3 Publisher,,,,,2000,Misc
Phantasy Star Portable,Sega,7.1,9.1,0.64,,2009,Role-Playing
Velocity,Microsoft,,,,,2009,Puzzle
Minna no DS Seminar: Kanpeki Eitango Ryoku,TDK Core,,,,0.06,2006,Misc
Tokimeki Memorial: Girl's Side 2nd Kiss Typing,Konami,,,,,2007,Adventure
Zombie Shooter,Sigma,,,,,2007,Shooter
Ranma-Chan no Ooeto Surogoku: Keio Yugekitai Gaiden,Victor Interactive,,,,,1998,Misc
Pariah,Groove Games,,,,0.1,2005,Action
Raiden II,GameBank,,,,,1997,Shooter
F1 2020,Codemasters,,,,,2020,Racing
Might and Magic: Book I,New World Computing,,,,,1986,Role-Playing
Platypus,Mumbo Jumbo,,,,,2009,Action
CrossworDS,Nintendo,,,,0.55,2008,Puzzle
XG Blast!,Unknown,,,,0,2010,Shooter
MotoGP 17,Koch Media,,,,0.14,2017,Racing
Ayaturi Yousuri: Dream Note,Undermoon,,,,,2007,Adventure
Spellcrafter,Jujubee S.A.,,,,,2015,Role-Playing
School Wars: Graduation Front,Quinrose,,,,0.01,2013,Misc
Desert Kingdom,Idea Factory,,,,0.01,2010,Adventure
Mario vs. Donkey Kong: Mini-Land Mayhem!,Nintendo,7.8,,2.98,,2010,Puzzle
Boukoku no Aegis 2035: Warship Gunner,KOEI,,,,,2005,Simulation
Forza Motorsport,Microsoft Game Studios,9.2,,,1.05,2005,Racing
Hitman: Contracts,Eidos Interactive,,,1.9,,2004,Action-Adventure
Little Busters! Converted Edition,Prototype,,,,0.05,2009,Adventure
Kane & Lynch,Eidos Interactive,,,2.82,,2007,Shooter
Phineas and Ferb,Disney Interactive Studios,,,,1.85,2009,Action
Hulk,Universal Interactive,,,2,,2003,Action
Man of War II: Chains of Command,GT Interactive,,,,,1999,Strategy
Keitai Ou-sama Game @ Sex Sesshoku no In Hen,Unknown,,,,,2011,Misc
Magna Mundi,Paradox Interactive,,,,,2012,Strategy
Tribeat,Unknown,,,,,2014,Misc
Thunder Alley,XS Games,,,,0.01,2004,Racing
Jewel Master: Cradle of Athena,Storm City Games,,,,0.18,2010,Puzzle
PukuPuku Tennen Kairanban: Koi no Cupid Daisakusen,Marvelous Interactive,,,,,2004,Adventure
Idol Janshi Suchi-Pai IV Portable,CyberFront,,,,,2010,Adventure
Initial D,Kodansha,,,,,1998,Racing
Nintendo Land,Nintendo,7.5,,5.21,,2012,Party
Final Fantasy II (SNES),Square Enix,8,,,,2010,Role-Playing
Ultimate NES Remix,Nintendo,7,,,0.33,2014,Action
Jonny Crush,Microsoft,,,,,2009,Action
Wurm: Journey to the Center of the Earth,Asmik Corp,,,,,1991,Platform
Space Farmers,Kiss,,,,,2014,Misc
Oceans Below,Multisoft,,,,,1995,Misc
Valthirian Arc: Hero School Story,PQube,,,,0.02,2018,Role-Playing
Zombies 2.0,Microsoft,,,,,2009,Shooter
Valkyria Chronicles: Enter the Edy Detachment,Sega,,,,,2009,Role-Playing
720 Degrees,Mindscape,,,,,1989,Sports
Powerstar Golf,Microsoft Studios,,,,,2013,Sports
The Lost Files of Sherlock Holmes,Electronic Arts,,,,,1994,Adventure
Kitaihei Gold,NetVillage,,,,,1999,Misc
Moonsweeper,Imagic,,,,,1983,Action
Dance Dance Revolution 2nd ReMIX,Konami,,,,0.96,1999,Simulation
Superman Activity Center,Knowledge Adventure,,,,,1998,Misc
Kurohyou: Ryu ga Gotoku Shinshou,Sega,,,,,2010,Adventure
Brian Lara International Cricket 2005,Codemasters,,,,,2005,Sports
NASCAR 2011: The Game,Activision,6,,,0.27,2011,Racing
WRC 5: FIA World Rally Championship,Bigben Interactive,,,,0.11,2015,Racing
Hatsune Miku: Project DIVA F,Sega,,,0.39,,2014,Music
RACE: The WTCC Game,Viva Media,,,,,2006,Racing
Bomberman Quest,Electro Brain,,,,,1999,Role-Playing
GT Advance Championship Racing,THQ,7.5,,,0.33,2001,Racing
StarField,Microsoft,,,,,2008,Shooter
Tiger Woods PGA Tour 2001,EA Sports,,,,0.74,2001,Sports
Baseball Advance,THQ,8.3,,,0.13,2002,Sports
Love Game's: Wai Wai Tennis Plus,Hamster Corporation,,,,,2002,Sports
The Conveni Special,ArtDink,,,,,1998,Simulation
Rock 'Em Sock 'Em Robots,DSI Games,,,,,2006,Fighting
Dual Blades,Metro 3D,6,,,0,2002,Fighting
Hellfire S: The Another Story,NEC,,,,,1991,Shooter
SHENZHEN I/O,Zachtronics Industries,,,0.11,,2016,Misc
Borderlands: Claptrap's New Robot Revolution,2K Games,8,,,,2010,Shooter
Monster Hunter Frontier Online: Forward 1,Capcom,,,,0.03,2011,Role-Playing
Kung Fu Panda 2,THQ,,,,0.25,2011,Action
Darksiders: Warmastered Edition,THQ Nordic,,,2.28,,2016,Action-Adventure
Deadly Premonition,Ignition Entertainment,6,7.8,,0.26,2010,Action
Nichibeikan Pro Yakyuu: Final League,Square,,,,0.07,2002,Sports
Chaos Control,Infogrames,,,,,1996,Shooter
Stellar 7: Draxon's Revenge,Sierra Entertainment,,,,,1993,Shooter
Blasto,Sony Computer Entertainment,4.6,,,0.35,1998,Action
Scrap Metal,Microsoft,7.6,,,,2010,Racing
Vitamin Z,D3 Publisher,,,,0.03,2009,Adventure
Fantasy Zone,Sega,,,,,2008,Shooter
Sudoku Fever,Take-Two Interactive,,,,0.07,2006,Puzzle
Home - a Unique Horror Adventure,Benjamin Rivers Inc.,,,,,2015,Misc
LocoCycle,Microsoft Studios,,,,,2013,Action
Shadows: Awakening,Kalypso Media,,8.5,,,2018,Role-Playing
Sukeban Deka III,Toei Animation,,,,,1988,Role-Playing
Monster Hunter Frontier Z: Beginner's Package,Capcom,,,,0.02,2016,Action
Nobunaga's Ambition: Tenshouki with Power-Up Kit HD Version,Tecmo Koei,,,,0.03,2015,Strategy
Girls und Panzer: Dream Tank Match,Bandai Namco Games,,,,0.06,2018,Action
Payday: The Heist,Sony Online Entertainment,8,,,,2011,Shooter
The Legend of Zelda: Ocarina of Time 3D,Nintendo,9.5,,5.62,,2011,Action-Adventure
SPRay,Tecmo,,,,0.04,2008,Action
"Itsuka, Kasanariau Ashita e: Sayuri-hen",Sony Music Entertainment,,,,,1999,Strategy
Scooby-Doo! Mystery Mayhem,THQ,,,,0.44,2003,Action
Garou Densetsu Special,Hudson Soft,,,,,1994,Fighting
Fisherman's Bait: A Bass Challenge,Konami,,,,,1999,Sports
Wall-E,THQ,,,,1.46,2008,Platform
Tiny Toon Adventures: ACME All-Stars,Konami,,,,,1994,Sports
The Simpsons: Hit & Run,Vivendi Games,,,3,,2003,Action-Adventure
ModNation Racers (PSP),Sony Computer Entertainment,,,,,2010,Racing
Hegemonia: The Solon Heritage,Wanadoo,,,,,2003,Strategy
Buzz! Quiz TV,Sony Computer Entertainment,7.9,,,0.88,2008,Misc
Woody Pop,Sega,,,,,1991,Puzzle
Archimedean Dynasty,Blue Byte,,,,,1997,Simulation
The Baconing,Hothead Games,6.2,,,,2011,Role-Playing
Serious Sam: The Second Encounter,Take-Two Interactive,,,,0,2002,Shooter
Mario Tennis Aces,Nintendo,7.8,,4.28,,2018,Sports
Shining Force EXA,Sega,,,,0.1,2007,Role-Playing
Aliens: Thanatos Encounter,THQ,,,,,2001,Action
Super Dungeon Bros,Wired Productions,,,,0.03,2016,Action
Zappi,Unknown,,,,,2014,Misc
Ro-Kyu-Bu!,Kadokawa Shoten,,,,0.08,2011,Adventure
bit Generations: Dotstream,Nintendo,8,,,0.01,2006,Racing
Judie no Atelier: Guramnat no Renkinjutsu - Toraware no Morito,Gust,,,,0.03,2010,Role-Playing
Jaseiken Necromancer,Hudson Soft,,,,,2006,Role-Playing
Rocket Fart,Microsoft,,,,,2009,Action
FIFA 12,EA Sports,,,10,,2011,Sports
Manhunt 2,Rockstar Games,,,,0.56,2007,Action
Strike Force Hydra,AIA,,,,0,2004,Shooter
King's Quest: The Complete Collection,Activision,,,,0.06,2016,Adventure
Nobunaga no Yabou: Haouden,KOEI,,,,0.62,1993,Strategy
Thief Simulator,Forever Entertainment S.A.,,,1,,2019,Action-Adventure
Anata no Kyuu o Check Kanken Mini Test,IE Institute,,,,,2010,Misc
DDRMAX: Dance Dance Revolution 6th Mix,Konami,,,,,2002,Simulation
Ratchet & Clank: Size Matters,Sony Computer Entertainment,,,,,2009,Action
World War Zero,Reef Entertainment,,,,,2005,Shooter
Monster Trucks Mayhem,Zoo Games,,,,0.4,2009,Racing
Yarudora Portable: Yukiwari no Hana,Sony Computer Entertainment,,,,,2005,Adventure
Gintama: Gintoki vs. Hijikata!? Kabukichou Gintama Dai Soudatsusen!!,Banpresto,,,,,2006,Action
Alan Wake: The Writer,Microsoft Game Studios,7,,,,2010,Action-Adventure
Kevin Sheedy AFL Coach 2002,Acclaim Entertainment,,,,,2001,Sports
N3: Ninety-Nine Nights,Microsoft Game Studios,6.3,,,0.3,2006,Action
Code of Honor: The French Foreign Legion,Unknown,,,,,2020,Shooter
Spot: The Video Game,Virgin Interactive,,,,,1991,Puzzle
Dino Pets,Destineer,,,,0.06,2009,Simulation
D4,Unknown,,,,,2015,Adventure
Quantum Error,TeamKill Media,,,,,2021,Action-Adventure
Choujikuu Yousai Macross: Scrambled Valkyrie,Zamuse,,,,,1993,Shooter
Red Faction: Guerrilla Re-Mars-tered,THQ Nordic,,,,0.09,2018,Shooter
The Amazing Spider-Man,LJN,,,,,1990,Action
Kwirk,Acclaim Entertainment,,,,,1990,Puzzle
Game Tycoon,Tri Synergy,,,,,2006,Strategy
Turtle Tale,Saturnine Games,,,,,2014,Misc
Digital Partner,Bandai,,,,,2000,Strategy
Gerry Anderson's Thunderbirds,Human Entertainment,,,,,1993,Adventure
