Game,Publisher,Critic_Score,User_Score,Copies,Total_Sales,Year,Genre
Capcom Fighting Collection,Capcom,,,,,2022,Fighting
Mike Tyson Boxing,Ubisoft,,,,0.04,2002,Sports
Adventure in Vegas: Slot Machine,Gamelion Studios,,,,,2010,Misc
International Superstar Soccer '98,Konami,,,,0.6,1998,Action
Professor Layton and the Last Specter,Nintendo,8.4,,2.06,,2011,Adventure
ZhuZhu Babies,Activision,,,,0.08,2011,Simulation
Yuu Yuu Hakusho Gaiden,Sega,,,,,1994,Role-Playing
Skate Park City,Midas Interactive Entertainment,,,,0,2008,Sports
Sugar Sugar Rune: Queen Shiken wa Dai Panic,Bandai,,,,0.01,2006,Action
Kids Station: Doki Doki ★Norimono Daibouken,Sunsoft,,,,,2001,Misc
Tales of Eternia,Namco,,,1.27,,2001,Role-Playing
War Leaders: Clash of Nations,CDV Software Entertainment,,,,0.02,2009,Strategy
Nicktoons Collection: Game Boy Advance Video Volume 3,Majesco,,,,0.02,2005,Misc
The Lord of the Rings: War of the Ring,Sierra Entertainment,,,,,2003,Strategy
Battle Pinball,Nippon Data Works,,,,,1994,Misc
Dramatical Murder Re:code,Nitroplus,,,,0.01,2014,Misc
"Ben There, Dan That!",Zombie Cow Studios,,,,,2008,Adventure
Daiya no Kuni no Alice: Wonderful Mirror World,Quinrose,,,,0.01,2013,Misc
Hamster Paradise Advance,Atlus,,,,,2002,Strategy
Ratchet & Clank,Sony Computer Entertainment,,,3.71,,2002,Platform
Mountain Bike Adrenaline,Valcon Games,,,,0.05,2007,Sports
Crazy Chicken: Star Karts,Mumbo Jumbo,,,,0.03,2009,Racing
Shiro to Kuro no Alice: Twilight Line,Idea Factory,,,,0.01,2018,Visual Novel
Imagine: Ice Champions,Ubisoft,,,,0.16,2009,Sports
Penguin no Mondai: The World,Konami,,,,0.1,2010,Adventure
Gundam: The Battle Master,Bandai,,,,0.14,1997,Fighting
SD Gundam G Generation Seed,Bandai,,,,0.4,2004,Strategy
Deadliest Warrior: The Game,Spike,,,,,2010,Fighting
Chibi-Robo! Zip Lash,Nintendo,5.5,,,0.32,2015,Platform
_summer ##,GN Software,,,,,2006,Adventure
Ultima Online: Samurai Empire,Electronic Arts,,,,,2004,Role-Playing
Innocence Pain,Ankh,,,,,2004,Adventure
SuperLite 1500 Series: Mahjong II,Success,,,,,1999,Strategy
Pastry Wars,Microsoft,,,,,2008,Shooter
UEFA Euro 2016,Konami Digital Entertainment,,,,0.31,2016,Sports
Simple 1500 Series Vol. 9: The Chess,D3 Publisher,,,,,1999,Strategy
Cricket 2002,EA Sports,,,,,2002,Sports
Hired Guns: The Jagged Edge,Game Factory,,,,0,2007,Strategy
Dragon Booster,Konami,,,,0.02,2005,Shooter
Jaws Unleashed,Majesco,,,,0.6,2006,Action
Whac-A-Mole,Activision,,,,0.08,2005,Puzzle
Monster Hunter 4 Ultimate,Capcom,8.8,,4.2,,2015,Role-Playing
Simple Wii Series Vol. 6: The Wai Wai Combat,D3 Publisher,,,,,2008,Shooter
Sunless Sea,Failbetter Games,,,,,2015,Adventure
Icewind Dale: The Ultimate Collection,Interplay,,,,,2003,Role-Playing
Heron: Steam Machine,Triangle Studios,,,,,2010,Puzzle
Outlaw Golf 2,Global Star Software,,,,0.35,2004,Sports
Simple 2000 Series Vol. 62: The Super Puzzle Bobble DX,D3 Publisher,,,,,2004,Puzzle
Brink,Bethesda Softworks,6.8,,,1.04,2011,Shooter
Remote Control,Hi Tech Expressions,,,,,1990,Misc
Radirgy Generic,Milestone,,,,,2006,Shooter
Samurai Shodown II,SNK,,,,0.25,1994,Fighting
Medieval Games,Vir2L Studios,,,,0.16,2009,Action
Demon Slayer: Kimetsu no Yaiba – The Hinokami Chronicles,Sega,,,1.32,,2021,Fighting
Family Tennis,Aksys Games,,,,,2009,Sports
Snoopy Tennis,Infogrames,,,,,2001,Sports
Asdivine Dios,Kemco,,,,,2015,Role-Playing
Mercenary Kings,Tribute Games,,,0.31,,2014,Misc
CRYSTORLD,TOYURO,,,,,2020,Action
Sega Classics Arcade Collection (5-in-1),Sega,,,,,1994,Misc
The Great Ace Attorney 1 & 2 Special Edition,Capcom,,,,0.02,2017,Adventure
Dead Moon,Natsume,,,,,2007,Shooter
Blacklight: Tango Down,Ignition Entertainment,,,,,2010,Shooter
Flying Warriors,Culture Brain,,,,,1991,Action
Cosmic Star Heroine,Zeboyd Games,7.5,,,,2017,Role-Playing
Charlie's Angels,Ubisoft,2.5,,,0.02,2003,Action
Disney Tangled,Disney Interactive Studios,,,,0.68,2010,Action
Speedball 2: Brutal Deluxe,Arena Entertainment,,,,,1986,Sports
Naruto Shippuden: Ultimate Ninja Storm Collection,Namco Bandai Games,,,,0.01,2016,Fighting
Transformers: War for Cybertron -- Decepticons,Activision,,,,0.12,2010,Action
Favorite Dear: Junshiro no Yogenmono,NEC Interchannel,,,,,2000,Adventure
Star Wars: Force Commander,LucasArts,,,,,2000,Strategy
continue?9876543210,Humansoft,,,,,2014,Misc
Rap Jam: Volume One,Mandigo,,,,,1995,Sports
NBA Jam 2001,Acclaim Entertainment,,,,,2000,Sports
Cricket Challenge,Gamehastra,,,,,2011,Sports
Hotel Mario,Philips Interactive Media,,,,,1994,Puzzle
The Chessmaster 3000,Software Toolworks,,,,,1991,Strategy
Black Mirror,THQ Nordic,,,,0.05,2017,Adventure
Super Columns,Sega,,,,,1995,Puzzle
The Guided Fate Paradox,NIS America,,,,0.07,2013,Role-Playing
Mickey's Ultimate Challenge,Hi Tech Expressions,,,,,1994,Action
Fisher Price: Firehouse Rescue,GameTek,,,,,1990,Misc
